Month,Scenario,LoadKWh,PvGenerationKWh,PvToLoadKWh,BatteryToLoadKWh,DieselToLoadKWh,FuelUsedL,UnservedEnergyKWh,AvgSocKWh,DownHours,CurtailmentKWh,HoursBatteryFullWithPv,CurtailmentPctOfPv
1,ColdStandby,7440.0,0.0,0.0,0.0,7440.0,2231.999999999999,0.0,,0,0.0,0,0.0
2,ColdStandby,6768.0,0.0,0.0,0.0,6768.0,2030.3999999999992,0.0,,0,0.0,0,0.0
3,ColdStandby,7440.0,0.0,0.0,0.0,7440.0,2231.999999999999,0.0,,0,0.0,0,0.0
4,ColdStandby,7200.0,0.0,0.0,0.0,7200.0,2159.999999999999,0.0,,0,0.0,0,0.0
5,ColdStandby,7440.0,0.0,0.0,0.0,7440.0,2231.999999999999,0.0,,0,0.0,0,0.0
6,ColdStandby,7200.0,0.0,0.0,0.0,7200.0,2159.999999999999,0.0,,0,0.0,0,0.0
7,ColdStandby,7440.0,0.0,0.0,0.0,7440.0,2231.999999999999,0.0,,0,0.0,0,0.0
8,ColdStandby,7440.0,0.0,0.0,0.0,7440.0,2231.999999999999,0.0,,0,0.0,0,0.0
9,ColdStandby,7200.0,0.0,0.0,0.0,7200.0,2159.999999999999,0.0,,0,0.0,0,0.0
10,ColdStandby,7440.0,0.0,0.0,0.0,7440.0,2231.999999999999,0.0,,0,0.0,0,0.0
11,ColdStandby,7200.0,0.0,0.0,0.0,7200.0,2159.999999999999,0.0,,0,0.0,0,0.0
12,ColdStandby,7440.0,0.0,0.0,0.0,7440.0,2231.999999999999,0.0,,0,0.0,0,0.0
1,Hybrid,7440.0,2487.81438770159,1699.3429011149124,739.2671628717716,5001.389936013316,1500.4169808039942,0.0,2.705253742845131,0,2.0896505082304744,6,0.08399543464981059
2,Hybrid,6768.0,2823.4843650654916,1826.4478338620838,861.5808160672597,4070.1345877256813,1221.040376317704,9.836762344974986,3.030449554127621,10,74.57218747316983,119,2.6411404431998724
3,Hybrid,7440.0,4150.811587324113,2533.4192741363113,1323.3425717132723,3583.2381541504164,1074.9714462451245,0.0,3.5794277927397276,0,202.15946895770816,284,4.870360041758327
4,Hybrid,7200.0,5007.1236224231825,2885.5839260661533,1686.167519203719,2628.2485547301276,788.4745664190381,0.0,4.252511168619277,0,336.38198555628486,445,6.718068314708272
5,Hybrid,7440.0,5296.6463610467945,3171.8709771733666,1747.6554969488539,2520.4735258777796,756.1420577633336,0.0,4.28674968458524,0,267.64569440147324,397,5.053116182530591
6,Hybrid,7200.0,5463.672197562766,3240.606901010632,1917.1406001009307,2042.252498888437,612.6757496665309,0.0,4.606493871444236,0,184.87390279515634,351,3.38369316661466
7,Hybrid,7440.0,5813.4845187526325,3333.654131157856,2143.7832480199822,1962.5626208221613,588.7687862466482,0.0,4.846998242702786,0,192.26706487811916,408,3.3072602886946854
8,Hybrid,7440.0,5861.867305629002,3223.5238555276133,2199.709006868323,2016.7671376040637,605.0301412812189,0.0,4.899128345700048,0,311.45414692760335,508,5.313224109125122
9,Hybrid,7200.0,5175.11322349613,2861.3351347255452,1903.0599644142096,2435.604900860245,730.6814702580732,0.0,4.505908581472512,0,295.9086236655727,489,5.717915935096526
10,Hybrid,7440.0,4268.761645309439,2510.821540802374,1573.288311577638,3355.890147619988,1006.767044285996,0.0,3.781647822927635,0,94.44742405407506,173,2.2125251279338802
11,Hybrid,7200.0,2967.4996488784936,1906.8920978038896,996.9858443909358,4296.122057805174,1288.8366173415518,0.0,3.012096490421812,0,3.7441162071813547,16,0.12617073800148107
12,Hybrid,7440.0,2219.0194154887913,1584.585278619101,597.0481525470057,5258.366568833893,1577.5099706501674,0.0,2.5141347764072983,0,5.753974770608683e-14,0,2.593025879109415e-15
