month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0484,35.3531,82.828,119.06,146.4705,158.1925,150.0409,124.5601,84.2243,42.22,0.5734,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8981,38.1163,74.1201,110.1846,126.1424,130.6908,125.6132,109.6164,79.8127,48.0805,12.1136,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7255,9.2504,37.1861,70.6506,100.1566,111.7216,108.6836,100.2603,85.5258,59.9551,34.0527,9.6057,-0.7242,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,-1.0819,-23.7712,-21.3819,1.5982,30.5531,54.8851,68.7029,71.6953,60.1864,42.361,19.4987,-4.875,-23.6792,-18.7437,-0.2405,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,-0.1413,-13.9663,-65.2615,-65.7403,-46.9745,-23.2354,-3.1323,9.2964,12.2607,5.5906,-10.3346,-30.1189,-50.6327,-64.2634,-51.6241,-5.6375,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,-0.2124,-26.157,-99.4374,-101.1938,-81.3258,-55.0441,-30.9643,-15.1591,-10.6475,-18.1302,-34.1811,-54.3011,-76.3568,-91.261,-81.9996,-17.3527,-0.25,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,-0.1704,-17.2998,-93.9223,-96.7591,-74.2534,-42.6405,-13.5188,6.0687,11.7905,3.2308,-15.5534,-39.8657,-65.5009,-85.787,-85.6368,-16.0352,-0.071,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,-2.9268,-50.2994,-47.2422,-16.6409,21.7284,55.5793,77.5615,82.7901,70.3598,46.6442,15.1472,-18.2801,-44.4229,-44.4551,-2.4088,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,-0.0533,-5.9478,12.1032,53.4347,98.3181,135.9603,154.2218,154.7773,140.9219,111.4951,72.5917,34.4928,1.7439,-3.8585,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6852,35.8822,88.8339,142.8693,180.5458,197.7154,196.179,176.3474,146.6225,105.2795,53.0941,6.2699,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4708,75.9672,128.5316,170.2938,194.4583,198.6061,182.6754,149.1378,94.2555,31.9651,-0.0033,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0941,41.8058,94.0004,130.7807,154.7933,161.9236,145.0459,118.8354,73.4012,15.8923,0.0,0.0,0.0,0.0,0.0,0.0
