,GTI_W_m2,GHI_W_m2,DNI_W_m2,DHI_W_m2,temp_C,cloud_pct,wind_m_s,GTI_to_GHI_ratio,GTI_minus_GHI
GTI_W_m2,1.0,0.9637,0.9255,0.7576,0.4126,-0.1771,0.0988,0.2653,0.539
GHI_W_m2,0.9637,1.0,0.9114,0.8043,0.5071,-0.1749,0.0874,0.0251,0.2946
DNI_W_m2,0.9255,0.9114,1.0,0.6266,0.4729,-0.3173,0.063,0.1897,0.4374
DHI_W_m2,0.7576,0.8043,0.6266,1.0,0.3664,0.0902,0.1061,-0.0472,0.1743
temp_C,0.4126,0.5071,0.4729,0.3664,1.0,-0.3314,0.0064,-0.396,-0.1231
cloud_pct,-0.1771,-0.1749,-0.3173,0.0902,-0.3314,1.0,0.0811,-0.0338,-0.0818
wind_m_s,0.0988,0.0874,0.063,0.1061,0.0064,0.0811,1.0,0.0649,0.0782
GTI_to_GHI_ratio,0.2653,0.0251,0.1897,-0.0472,-0.396,-0.0338,0.0649,1.0,0.6936
GTI_minus_GHI,0.539,0.2946,0.4374,0.1743,-0.1231,-0.0818,0.0782,0.6936,1.0
